permission_group_id,user_segment_id,Category ,Section ,Sub-section 1 (issue type),Sub-section 2 (scenario),section_id,article,content_tags,labels
16418061328402,16418061317906,21757240439826,21759416996242,21759448516626,,21759448516626,Transactions Glossary ,01HXTZJAE4DAD6XPQ61G9PGXYK,"Global, case_transactions, Transactions_Glossary"
16418061328402,16418061317906,21757240439826,21759416996242,21759448516626,,21759448516626,Transactions Tools & Permissions ,01HXTZJAE4DAD6XPQ61G9PGXYK,"Global, case_transactions, Transactions_Tools_and_permissions"
16418061328402,16418061317906,21757240439826,21759437737874,21759441165330,21759604826258,21759604826258,Zain merchant (TPA: SNB/ NCB/ Alahli) manual process,01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_refund, MADA_20030_Refund_failures, Zain_merchant_(TPA:SNB/NCB/Alahli)_manual_process"
16418061328402,16418061317906,21757240439826,21759437737874,21759441165330,21759604826258,21759604826258,Al Rajhi manual process,01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_refund, MADA_20030_Refund_failures, Al_Rajhi_manual_process"
16418061328402,16418061317906,21757240439826,21759437737874,21759441165330,21759604826258,21759604826258,SAB TPA manual process,01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_refund, MADA_20030_Refund_failures, SAB_TPA_manual_process"
16418061328402,16418061317906,21757240439826,21759437737874,21759441165330,21759596828946,21759596828946,SAB TPP transactions (Non MADA),01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_refund, Non_MADA_20030_Refund_failures, SAB_TPP_transactions_(Non_MADA)"
16418061328402,16418061317906,21757240439826,21759437737874,21759441165330,21759596828946,21759596828946,All other acquirers follow the below manual process for Refund failures (Non MADA),01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_refund, Non_MADA_20030_Refund_failures, All_other_acquirers_follow_the_below_manual_process_for_Refund_failures_(Non_MADA)"
16418061328402,16418061317906,21757240439826,21759437737874,21759425874322,,21759425874322,MPGS API & Cybersource,01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_status_proof, MPGS_API_&_Cybersource"
16418061328402,16418061317906,21757240439826,21759437737874,21759467067666,,21759467067666,Transaction Failures - 20030,01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_transaction_declined_reason_response_codes_unclear, Transaction_Failures_20030"
16418061328402,16418061317906,21757240439826,21759437737874,21759467067666,,21759467067666,Transaction Failures - 20068 or 20091,01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_transaction_declined_reason_response_codes_unclear, Transaction_Failures_20068_or_20091"
16418061328402,16418061317906,21757240439826,21759437737874,21759444302354,21759631316114,21759631316114,Payment Link,01HXTZJAE4DAD6XPQ61G9PGXYK,"MENA, case_transactions, case_transactions_issue_incorrect_refund, TPA_acquiring, payment_link"
